date,gap,priv_fund_ratio,factor_rank,position,strategy_ret,strategy_net,equity
2023-06-29,0.00031493744197174636,6.587012813141057e-10,0.5333333333333333,1.0,0.00031493744197174636,-0.0011850625580282536,0.9735049121469277
2023-06-30,0.002197024554012304,-8.485002924639355e-09,0.23333333333333334,0.0,0.0,0.0,0.9735049121469277
2023-07-03,0.005621931260229043,2.6451131380335642e-08,0.9,0.0,0.0,0.0,0.9735049121469277
2023-07-04,0.0019153310987802897,-8.222155628934812e-09,0.25,0.0,0.0,0.0,0.9735049121469277
2023-07-05,0.0010897378978553445,1.587763414614629e-08,0.7666666666666667,0.0,0.0,0.0,0.9735049121469277
2023-07-06,-0.0008032715057689572,-1.4196255964837385e-08,0.13333333333333333,0.0,-0.0,-0.0,0.9735049121469277
2023-07-07,-0.005470311352229748,-3.754146832341321e-09,0.38333333333333336,0.0,-0.0,-0.0,0.9735049121469277
2023-07-10,0.001776501205779523,-1.3023006698773467e-08,0.16666666666666666,0.0,0.0,0.0,0.9735049121469277
2023-07-11,0.007053630912724873,3.0155714693202106e-08,0.9333333333333333,0.0,0.0,0.0,0.9735049121469277
2023-07-12,0.0002574938896291717,7.972808345928417e-10,0.5833333333333334,-1.0,-0.0002574938896291717,-0.0017574938896291717,0.9717939832123055
2023-07-13,0.006199950432899642,1.810328862539044e-08,0.7666666666666667,0.0,0.0,0.0,0.9717939832123055
2023-07-14,0.006911410484524837,2.8498055570121286e-08,0.9,0.0,0.0,0.0,0.9717939832123055
2023-07-17,-0.0021921099953849375,-5.620698901519199e-09,0.3,0.0,-0.0,-0.0,0.9717939832123055
2023-07-18,0.0026474751300810877,1.3542725768563392e-08,0.6833333333333333,0.0,0.0,0.0,0.9717939832123055
2023-07-19,0.00524043650317789,-3.5787493243602925e-09,0.38333333333333336,0.0,0.0,0.0,0.9717939832123055
2023-07-20,-0.005895793056066043,3.203353903787295e-09,0.5833333333333334,0.0,-0.0,-0.0,0.9717939832123055
2023-07-21,-0.007859151211669177,-1.42104382253695e-08,0.13333333333333333,0.0,-0.0,-0.0,0.9717939832123055
2023-07-24,-5.988286910806102e-05,-2.8362388997612295e-09,0.38333333333333336,0.0,-0.0,-0.0,0.9717939832123055
2023-07-25,0.0021026390509450905,-3.1972060619207994e-08,0.03333333333333333,0.0,0.0,0.0,0.9717939832123055
2023-07-26,0.0018544329684031914,-1.4441457116769417e-09,0.48333333333333334,1.0,0.0018544329684031914,0.0003544329684031914,0.9721384190384517
2023-07-27,0.0013052554774114818,7.284590341469688e-09,0.6333333333333333,0.0,0.0,0.0,0.9721384190384517
2023-07-28,-0.0037701042014911756,8.198437432321729e-09,0.65,0.0,-0.0,-0.0,0.9721384190384517
2023-07-31,0.007061038128804731,-8.288482095113074e-09,0.2833333333333333,0.0,0.0,0.0,0.9721384190384517
2023-08-01,0.004757540046265899,-3.6669447858499926e-10,0.5,0.0,0.0,0.0,0.9721384190384517
2023-08-02,-0.006083754456066026,-1.3310825952042993e-08,0.2,0.0,-0.0,-0.0,0.9721384190384517
2023-08-03,0.0008012210608968068,-7.025087490808754e-09,0.3333333333333333,0.0,0.0,0.0,0.9721384190384517
2023-08-04,0.0012006923055299236,-1.1580782922713025e-08,0.23333333333333334,0.0,0.0,0.0,0.9721384190384517
2023-08-07,-0.004922601739801802,3.3611010645239e-09,0.6,0.0,-0.0,-0.0,0.9721384190384517
2023-08-08,0.005671751918625068,-4.22936693248464e-09,0.35,0.0,0.0,0.0,0.9721384190384517
2023-08-09,0.0009946152184281225,2.5973480552904926e-08,0.85,0.0,0.0,0.0,0.9721384190384517
2023-08-10,-0.004283896735541797,-1.4177567595769586e-08,0.16666666666666666,0.0,-0.0,-0.0,0.9721384190384517
2023-08-11,0.0029410815434021188,-9.207735134680393e-09,0.2833333333333333,0.0,0.0,0.0,0.9721384190384517
2023-08-14,-0.0024954297639655384,-1.1201924806170037e-08,0.26666666666666666,0.0,-0.0,-0.0,0.9721384190384517
2023-08-15,0.006123181606794554,-1.1679818748959707e-08,0.25,0.0,0.0,0.0,0.9721384190384517
2023-08-16,-0.008028262093385776,-5.4050066891455415e-09,0.4166666666666667,0.0,-0.0,-0.0,0.9721384190384517
2023-08-17,-0.007633175882650764,2.0974347876393096e-09,0.65,0.0,-0.0,-0.0,0.9721384190384517
2023-08-18,-0.009368703130517762,-1.4379797321307543e-08,0.13333333333333333,0.0,-0.0,-0.0,0.9721384190384517
2023-08-21,0.002056022432374862,8.874064874135066e-09,0.7666666666666667,0.0,0.0,0.0,0.9721384190384517
2023-08-22,0.007976818931206121,3.3042699118531423e-09,0.7,0.0,0.0,0.0,0.9721384190384517
2023-08-23,-0.00215876916945519,-6.64073241074688e-09,0.4166666666666667,0.0,-0.0,-0.0,0.9721384190384517
2023-08-24,0.011892707278553525,2.2030372285769884e-08,0.9,0.0,0.0,0.0,0.9721384190384517
2023-08-25,-0.013884042382866103,-6.724139375171514e-09,0.4166666666666667,0.0,-0.0,-0.0,0.9721384190384517
2023-08-28,0.006402207829340684,5.644935981148575e-09,0.7333333333333333,0.0,0.0,0.0,0.9721384190384517
2023-08-29,0.0035598745411419773,-1.0493096466529008e-09,0.6,0.0,0.0,0.0,0.9721384190384517
2023-08-30,0.00995372927329182,1.1604475196986032e-08,0.8166666666666667,0.0,0.0,0.0,0.9721384190384517
2023-08-31,0.0021131233510309332,1.2969440833537916e-08,0.8166666666666667,0.0,0.0,0.0,0.9721384190384517
2023-09-01,-0.0014532457857908236,7.201432113095821e-09,0.7333333333333333,0.0,-0.0,-0.0,0.9721384190384517
2023-09-04,0.0032999959509252504,1.7521642147023262e-08,0.8833333333333333,0.0,0.0,0.0,0.9721384190384517
2023-09-05,-0.002275189162851231,1.046352502507279e-08,0.8,0.0,-0.0,-0.0,0.9721384190384517
2023-09-06,-0.0009433049535602469,-3.088623125607438e-09,0.48333333333333334,0.0,-0.0,-0.0,0.9721384190384517
2023-09-07,-0.0038906085820576376,-7.326877912297252e-09,0.35,0.0,-0.0,-0.0,0.9721384190384517
2023-09-08,-0.0003753324956347496,-1.9120838657986722e-08,0.08333333333333333,0.0,-0.0,-0.0,0.9721384190384517
2023-09-11,0.0022174485482641757,-1.3964146576186306e-09,0.5666666666666667,1.0,0.0022174485482641757,0.0007174485482641757,0.9728358783359026
2023-09-12,0.0038051874136107292,-2.1230169815284187e-08,0.05,0.0,0.0,0.0,0.9728358783359026
2023-09-13,8.197830034382441e-06,-1.5844552260981917e-09,0.5333333333333333,1.0,8.197830034382441e-06,-0.0014918021699656175,0.9713845996615807
2023-09-14,0.0042728546366635955,-1.8156870976714876e-08,0.1,0.0,0.0,0.0,0.9713845996615807
2023-09-15,0.0016912053277013104,-5.525074180695776e-09,0.4166666666666667,0.0,0.0,0.0,0.9713845996615807
2023-09-18,-0.006315308307336984,-1.916090640772096e-08,0.06666666666666667,0.0,-0.0,-0.0,0.9713845996615807
2023-09-19,0.0012002465371265597,-4.825681362097679e-09,0.45,1.0,0.0012002465371265597,-0.00029975346287344036,0.9710934237640503
2023-09-20,-0.00031812323604752275,-1.476694048564578e-08,0.1,0.0,-0.0,-0.0,0.9710934237640503
2023-09-21,-0.006921121254289823,-1.0615134829393485e-08,0.26666666666666666,0.0,-0.0,-0.0,0.9710934237640503
2023-09-22,-0.011726804123711356,-6.140403993943363e-09,0.4,0.0,-0.0,-0.0,0.9710934237640503
2023-09-25,-0.0028111913779007747,-1.4400783223769792e-08,0.11666666666666667,0.0,-0.0,-0.0,0.9710934237640503
2023-09-26,-0.00044051754518439944,-7.307506754698161e-09,0.35,0.0,-0.0,-0.0,0.9710934237640503
2023-09-27,-0.00792789572455335,-1.63469631910549e-09,0.5833333333333334,0.0,-0.0,-0.0,0.9710934237640503
2023-09-28,-0.011029567725787977,-1.7321180249193927e-09,0.5666666666666667,0.0,-0.0,-0.0,0.9710934237640503
2023-09-29,-0.011029567725787977,-1.7912475711099371e-09,0.55,0.0,-0.0,-0.0,0.9710934237640503
2023-10-02,-0.011029567725787977,-1.8424679379536117e-09,0.5333333333333333,0.0,-0.0,-0.0,0.9710934237640503
2023-10-03,-0.011029567725787977,-1.8921280190886075e-09,0.5333333333333333,0.0,-0.0,-0.0,0.9710934237640503
2023-10-04,-0.012149493064098895,-4.850697010743493e-08,0.016666666666666666,0.0,-0.0,-0.0,0.9710934237640503
2023-10-05,0.008133550460233684,-7.329506071137831e-09,0.31666666666666665,1.0,0.008133550460233684,0.006633550460233685,0.9775352209921903
2023-10-06,0.00045872361247037164,-8.747377514602031e-09,0.3,0.0,0.0,0.0,0.9775352209921903
2023-10-09,-0.004464673865790243,-8.862537661834619e-09,0.3,0.0,-0.0,-0.0,0.9775352209921903
2023-10-10,0.00881631801345912,-1.1426174708963497e-08,0.25,0.0,0.0,0.0,0.9775352209921903
2023-10-11,0.015822923132064504,4.9453367140110305e-09,0.8166666666666667,0.0,0.0,0.0,0.9775352209921903
2023-10-12,0.006661322748374305,-1.0570281604728393e-08,0.3,0.0,0.0,0.0,0.9775352209921903
2023-10-13,-0.007817253735379623,-2.979260687586456e-08,0.05,0.0,-0.0,-0.0,0.9775352209921903
2023-10-16,-0.0053625484059653845,-2.1402188044531466e-08,0.06666666666666667,1.0,-0.0053625484059653845,-0.006862548405965384,0.9708268382195954
2023-10-17,0.007655160232799575,3.1239089392688e-08,1.0,1.0,0.007655160232799575,0.0061551602327995746,0.9768024329671392
2023-10-18,-0.0033326097782092356,1.8140180097468267e-08,0.95,-1.0,0.0033326097782092356,0.0018326097782092356,0.9785925306571734
2023-10-19,-0.013697056345579436,-1.4550916281289031e-08,0.15,-1.0,0.013697056345579436,0.012197056345579436,0.990528478892962
2023-10-20,-0.0101173402868319,1.1075447430233169e-08,0.8833333333333333,0.0,-0.0,-0.0,0.990528478892962
2023-10-23,-0.002336355726721445,-1.4137778561417326e-08,0.21666666666666667,0.0,-0.0,-0.0,0.990528478892962
2023-10-24,0.007030996050352424,-4.10697222938888e-09,0.5833333333333334,0.0,0.0,0.0,0.990528478892962
2023-10-25,0.003616183630068377,-3.318844989269085e-08,0.03333333333333333,0.0,0.0,0.0,0.990528478892962
